signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Ryan Bolden,John Lackey,2010,Ryan,Bolden,John,Lackey,Ryan Bolden,lackj001
Asher Wojciechowski,Rod Barajas,2010,Asher,Wojciechowski,Rod,Barajas,wojca001,barar001
Drew Vettleson,Gregg Zaun,2010,Drew,Vettleson,Gregg,Zaun,Drew Vettleson,zaung001
Taijuan Walker,Adrian Beltre,2010,Taijuan,Walker,Adrian,Beltre,walkt004,belta001
Nick Castellanos,Brandon Lyon,2010,Nick,Castellanos,Brandon,Lyon,castn001,lyonb003
Luke Jackson,Ivan Rodriguez,2010,Luke,Jackson,Ivan,Rodriguez,jackl001,rodri001
Seth Blair,Mark DeRosa,2010,Seth,Blair,Mark,DeRosa,Seth Blair,derom001
Pete Tago,Jason Marquis,2010,Pete,Tago,Jason,Marquis,Pete Tago,marqj001
Chance Ruffin,Fernando Rodney,2010,Chance,Ruffin,Fernando,Rodney,ruffc001,rodnf001
Mike Olt,Marlon Byrd,2010,Mike,Olt,Marlon,Byrd,olt-m001,byrdm001
Tyrell Jenkins,Joel Pineiro,2010,Tyrell,Jenkins,Joel,Pineiro,jenkt001,pinej001
Todd Cunningham,Mike Gonzalez,2010,Todd,Cunningham,Mike,Gonzalez,cunnt001,gonzm001
Brandon Workman,Jason Bay,2010,Brandon,Workman,Jason,Bay,workb001,bay-j001
Justin Nicolino,Marco Scutaro,2010,Justin,Nicolino,Marco,Scutaro,nicoj001,scutm001
